No.,Name,Unit,Time_ms,Value table,Conversion
164,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
165,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
166,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
167,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
168,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
169,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
170,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
171,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
172,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
173,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
174,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
175,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
176,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
177,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
178,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
179,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
180,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
181,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
182,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
183,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
184,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
185,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
186,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
187,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
188,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
189,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
190,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
191,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
192,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
193,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
194,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
195,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
196,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
197,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
198,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
199,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
200,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
201,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
202,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
203,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
204,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
205,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
206,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
207,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
208,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
209,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
210,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
211,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
212,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
213,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
214,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
215,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
216,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
217,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
218,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
219,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
220,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
221,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
222,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
223,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
224,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
225,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
226,Serial number of EDR unit,N/A,N/A,"0xFE: Invalid, 0xFF: N/A",Ascii
227,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
228,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
229,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
230,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
231,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
232,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
233,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
234,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
235,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
236,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
237,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
238,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
239,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
240,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
241,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
242,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
243,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
244,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
245,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
246,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
247,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
248,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
249,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
250,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
251,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
252,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
253,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
254,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
255,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
256,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
257,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
258,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
259,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
260,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
261,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
262,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
263,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
264,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
265,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
266,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
267,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
268,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
269,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
270,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
271,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
272,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
273,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
274,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
275,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
276,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
277,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
278,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
279,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
280,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
281,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
282,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
283,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
284,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
285,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
286,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
287,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
288,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
289,Software number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
290,Software number of EDR unit,N/A,N/A,"0xFE: Invalid, 0xFF: N/A",Ascii
291,Longitudinal acceleration,G,0,"0xFE: Invalid, 0xFF: N/A",E=N-127
292,Longitudinal acceleration,G,2,"0xFE: Invalid, 0xFF: N/A",E=N-127
293,Longitudinal acceleration,G,4,"0xFE: Invalid, 0xFF: N/A",E=N-127
294,Longitudinal acceleration,G,6,"0xFE: Invalid, 0xFF: N/A",E=N-127
295,Longitudinal acceleration,G,8,"0xFE: Invalid, 0xFF: N/A",E=N-127
296,Longitudinal acceleration,G,10,"0xFE: Invalid, 0xFF: N/A",E=N-127
297,Longitudinal acceleration,G,12,"0xFE: Invalid, 0xFF: N/A",E=N-127
298,Longitudinal acceleration,G,14,"0xFE: Invalid, 0xFF: N/A",E=N-127
299,Longitudinal acceleration,G,16,"0xFE: Invalid, 0xFF: N/A",E=N-127
300,Longitudinal acceleration,G,18,"0xFE: Invalid, 0xFF: N/A",E=N-127
301,Longitudinal acceleration,G,20,"0xFE: Invalid, 0xFF: N/A",E=N-127
302,Longitudinal acceleration,G,22,"0xFE: Invalid, 0xFF: N/A",E=N-127
303,Longitudinal acceleration,G,24,"0xFE: Invalid, 0xFF: N/A",E=N-127
304,Longitudinal acceleration,G,26,"0xFE: Invalid, 0xFF: N/A",E=N-127
305,Longitudinal acceleration,G,28,"0xFE: Invalid, 0xFF: N/A",E=N-127
306,Longitudinal acceleration,G,30,"0xFE: Invalid, 0xFF: N/A",E=N-127
307,Longitudinal acceleration,G,32,"0xFE: Invalid, 0xFF: N/A",E=N-127
308,Longitudinal acceleration,G,34,"0xFE: Invalid, 0xFF: N/A",E=N-127
309,Longitudinal acceleration,G,36,"0xFE: Invalid, 0xFF: N/A",E=N-127
310,Longitudinal acceleration,G,38,"0xFE: Invalid, 0xFF: N/A",E=N-127
311,Longitudinal acceleration,G,40,"0xFE: Invalid, 0xFF: N/A",E=N-127
312,Longitudinal acceleration,G,42,"0xFE: Invalid, 0xFF: N/A",E=N-127
313,Longitudinal acceleration,G,44,"0xFE: Invalid, 0xFF: N/A",E=N-127
314,Longitudinal acceleration,G,46,"0xFE: Invalid, 0xFF: N/A",E=N-127
315,Longitudinal acceleration,G,48,"0xFE: Invalid, 0xFF: N/A",E=N-127
316,Longitudinal acceleration,G,50,"0xFE: Invalid, 0xFF: N/A",E=N-127
317,Longitudinal acceleration,G,52,"0xFE: Invalid, 0xFF: N/A",E=N-127
318,Longitudinal acceleration,G,54,"0xFE: Invalid, 0xFF: N/A",E=N-127
319,Longitudinal acceleration,G,56,"0xFE: Invalid, 0xFF: N/A",E=N-127
320,Longitudinal acceleration,G,58,"0xFE: Invalid, 0xFF: N/A",E=N-127
321,Longitudinal acceleration,G,60,"0xFE: Invalid, 0xFF: N/A",E=N-127
322,Longitudinal acceleration,G,62,"0xFE: Invalid, 0xFF: N/A",E=N-127
323,Longitudinal acceleration,G,64,"0xFE: Invalid, 0xFF: N/A",E=N-127
324,Longitudinal acceleration,G,66,"0xFE: Invalid, 0xFF: N/A",E=N-127
325,Longitudinal acceleration,G,68,"0xFE: Invalid, 0xFF: N/A",E=N-127
326,Longitudinal acceleration,G,70,"0xFE: Invalid, 0xFF: N/A",E=N-127
327,Longitudinal acceleration,G,72,"0xFE: Invalid, 0xFF: N/A",E=N-127
328,Longitudinal acceleration,G,74,"0xFE: Invalid, 0xFF: N/A",E=N-127
329,Longitudinal acceleration,G,76,"0xFE: Invalid, 0xFF: N/A",E=N-127
330,Longitudinal acceleration,G,78,"0xFE: Invalid, 0xFF: N/A",E=N-127
331,Longitudinal acceleration,G,80,"0xFE: Invalid, 0xFF: N/A",E=N-127
332,Longitudinal acceleration,G,82,"0xFE: Invalid, 0xFF: N/A",E=N-127
333,Longitudinal acceleration,G,84,"0xFE: Invalid, 0xFF: N/A",E=N-127
334,Longitudinal acceleration,G,86,"0xFE: Invalid, 0xFF: N/A",E=N-127
335,Longitudinal acceleration,G,88,"0xFE: Invalid, 0xFF: N/A",E=N-127
336,Longitudinal acceleration,G,90,"0xFE: Invalid, 0xFF: N/A",E=N-127
337,Longitudinal acceleration,G,92,"0xFE: Invalid, 0xFF: N/A",E=N-127
338,Longitudinal acceleration,G,94,"0xFE: Invalid, 0xFF: N/A",E=N-127
339,Longitudinal acceleration,G,96,"0xFE: Invalid, 0xFF: N/A",E=N-127
340,Longitudinal acceleration,G,98,"0xFE: Invalid, 0xFF: N/A",E=N-127
341,Longitudinal acceleration,G,100,"0xFE: Invalid, 0xFF: N/A",E=N-127
342,Longitudinal acceleration,G,102,"0xFE: Invalid, 0xFF: N/A",E=N-127
343,Longitudinal acceleration,G,104,"0xFE: Invalid, 0xFF: N/A",E=N-127
344,Longitudinal acceleration,G,106,"0xFE: Invalid, 0xFF: N/A",E=N-127
345,Longitudinal acceleration,G,108,"0xFE: Invalid, 0xFF: N/A",E=N-127
346,Longitudinal acceleration,G,110,"0xFE: Invalid, 0xFF: N/A",E=N-127
347,Longitudinal acceleration,G,112,"0xFE: Invalid, 0xFF: N/A",E=N-127
348,Longitudinal acceleration,G,114,"0xFE: Invalid, 0xFF: N/A",E=N-127
349,Longitudinal acceleration,G,116,"0xFE: Invalid, 0xFF: N/A",E=N-127
350,Longitudinal acceleration,G,118,"0xFE: Invalid, 0xFF: N/A",E=N-127
